Year,New Dwellings Price,Other Dwellings Price,All Dwellings Price,First time buyers Price,Former owner occupiers Price
1992.25,76000,80000,80000,65000,100000
1992.5,76000,80000,80000,65000,100000
1992.75,67000,80000,80000,65000,105000
1992.0,73000,76000,76000,63000,104000
1993.25,73000,79000,79000,63000,112000
1993.5,79000,82000,81000,67000,110000
1993.75,85000,82000,83000,66000,111000
1993.0,75000,80000,81000,65000,109000
1994.25,72000,79000,80000,63000,113000
1994.5,75000,89000,90000,71000,120000
1994.75,74000,93000,93000,71000,126000
1994.0,79000,87000,87000,71000,118000
1995.25,93000,86000,88000,71000,117000
1995.5,82000,87000,88000,66000,119000
1995.75,81000,91000,92000,63000,126000
1995.0,80000,90000,90000,63000,125000
1996.25,85000,89000,90000,64000,120000
1996.5,105000,87000,89000,65000,116000
1996.75,95000,97000,96000,69000,124000
1996.0,112000,100000,100000,70000,131000
1997.25,138000,100000,102000,69000,130000
1997.5,111000,104000,105000,69000,139000
1997.75,111000,109000,110000,79000,143000
1997.0,119000,104000,104000,77000,134000
1998.25,117000,105000,106000,78000,137000
1998.5,126000,115000,115000,90000,148000
1998.75,126000,120000,121000,101000,150000
1998.0,133000,119000,119000,92000,152000
1999.25,145000,125000,126000,99000,156000
1999.5,192000,134000,137000,116000,167000
1999.75,186000,148000,150000,120000,184000
1999.0,185000,149000,151000,121000,185000
2000.25,170000,156000,156000,130000,188000
2000.5,209000,165000,167000,122000,218000
2000.75,203000,159000,161000,124000,200000
2000.0,260000,165000,170000,125000,215000
2001.25,215000,176000,173000,137000,210000
2001.5,208000,189000,184000,141000,224000
2001.75,238000,185000,187000,143000,231000
2001.0,207000,182000,183000,144000,219000
2002.25,197000,183000,184000,149000,209000
2002.5,233000,203000,206000,163000,231000
2002.75,258000,219000,222000,185000,246000
2002.0,249000,209000,210000,178000,227000
2003.25,281000,215000,217000,176000,229000
2003.5,319000,218000,224000,181000,245000
2003.75,326000,250000,252000,179000,285000
2003.0,314000,252000,254000,187000,280000
2004.25,314000,260000,264000,194000,294000
2004.5,319000,274000,277000,204000,303000
2004.75,309000,276000,281000,211000,306000
2004.0,300000,265000,269000,207000,294000
2005.25,307000,270000,273000,208000,299000
2005.5,330000,282000,287000,217000,311000
2005.75,326000,294000,296000,223000,326000
2005.0,294000,273000,274000,216000,328000
2006.25,276000,294000,293000,229000,348000
2006.5,288000,304000,303000,238000,356000
2006.75,267000,317000,315000,241000,376000
2006.0,277000,313000,311000,240000,369000
2007.25,271000,336000,333000,250000,398000
2007.5,284000,343000,340000,258000,405000
2007.75,250000,361000,355000,268000,424000
2007.0,255000,347000,341000,259000,407000
2008.25,259000,350000,345000,255000,418000
2008.5,293000,359000,355000,271000,422000
2008.75,261000,366000,360000,272000,426000
2008.0,243000,351000,346000,252000,417000
2009.25,249000,330000,327000,234000,410000
2009.5,204000,330000,323000,243000,392000
2009.75,205000,361000,352000,267000,427000
2009.0,229000,357000,350000,273000,422000
2010.25,234000,385000,380000,290000,455000
2010.5,264000,388000,381000,297000,456000
2010.75,272000,402000,397000,302000,478000
2010.0,253000,388000,380000,285000,464000
2011.25,257000,409000,401000,296000,491000
2011.5,295000,398000,396000,303000,481000
2011.75,301000,411000,414000,318000,491000
2011.0,349000,390000,395000,298000,476000
2012.25,327000,381000,384000,296000,469000
2012.5,335000,419000,422000,331000,494000
2012.75,313000,426000,429000,331000,513000
2012.0,328000,408000,407000,313000,496000
2013.25,357000,399000,405000,310000,502000
2013.5,384000,421000,427000,342000,523000
2013.75,341000,446000,449000,346000,560000
2013.0,365000,429000,430000,334000,536000
2014.25,423000,447000,452000,347000,570000
2014.5,511000,476000,479000,374000,594000
2014.75,441000,497000,490000,376000,614000
2014.0,467000,458000,457000,356000,573000
2015.25,477000,476000,477000,361000,619000
2015.5,527000,495000,499000,376000,636000
2015.75,459000,555000,547000,398000,696000
2015.0,472000,545000,533000,395000,676000
2016.25,454000,573000,561000,414000,703000
2016.5,462000,514000,508000,404000,671000
2016.75,458000,542000,535000,417000,689000
2016.0,499000,537000,532000,420000,678000
2017.25,448000,541000,526000,412000,677000
2017.5,488000,554000,543000,431000,690000
2017.75,453000,562000,548000,429000,694000
2017.0,501000,531000,526000,418000,664000
2018.25,452000,545000,530000,420000,682000
2018.5,495000,550000,541000,436000,688000
2018.75,479000,565000,553000,436000,715000
2018.0,483000,537000,528000,422000,681000
2019.25,460000,533000,520000,420000,670000
2019.5,482000,546000,534000,431000,691000
2019.75,463000,567000,550000,429000,719000
2019.0,477000,562000,549000,433000,707000
2020.25,473000,567000,551000,436000,724000
2020.5,447000,559000,540000,433000,719000
2020.75,483000,633000,607000,481000,785000
2020.0,482000,627000,603000,478000,772000
2021.25,458000,615000,594000,476000,740000
2021.5,469000,625000,604000,478000,770000
2021.75,419000,642000,609000,449000,863000
2021.0,457000,632000,604000,449000,865000
2022.25,464000,641000,614000,470000,852000
2022.5,471000,650000,620000,478000,858000
2022.75,449000,674000,638000,490000,877000
2022.0,426000,616000,582000,461000,798000
2023.25,402000,606000,563000,444000,791000
2023.5,392000,618000,591000,462000,810000
2023.75,377000,652000,626000,478000,849000
2023.0,395000,601000,582000,462000,783000
