Code,Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
E09000001,City of London,119,86,55,54,47,24,23,45,33,47,48,44,48,158,244,273, 276 , 209 , 295 
E09000002,Barking and Dagenham,434,513,893,"1,181",750,627,557,468,295,242,259,202,110,115,106,206, 224 , 222 , 368 
E09000003,Barnet,"1,654","1,805","1,604","1,576","1,704","1,719","1,525","1,390","1,095","1,136","1,129","1,249","1,100","1,048","1,065","1,113"," 1,378 "," 1,519 "," 1,891 "
E09000004,Bexley,898,932,823,911,756,755,670,779,473,527,334,395,387,475,488,645, 505 , 507 , 572 
E09000005,Brent,"1,294","1,231","1,214","1,162",830,733,595,629,610,567,540,405,453,354,405,336," 1,029 "," 1,414 "," 1,114 "
E09000006,Bromley,"1,506","1,437","1,253","1,138","1,047","1,002",922,840,728,709,668,696,591,575,482,554, 828 , 971 ," 1,202 "
E09000007,Camden,"1,503","1,338","1,056","1,079","1,125","1,207","1,163","1,053",964,"1,286","1,146","1,138","1,114","1,142","1,210","1,241"," 1,445 ", 993 ," 1,355 "
E09000008,Croydon,"2,978","2,049","2,721","1,822","1,640","1,635","1,476","1,321","1,362",294,741,"1,022","1,216","1,264","1,521","1,340"," 1,546 "," 1,648 "," 1,606 "
E09000009,Ealing,"1,215","1,179","1,091","1,131","1,144","1,194",938,656,375,342,153,667,695,801,850,516, 430 , 506 , 553 
E09000010,Enfield,"2,848","2,661","3,028","1,551",905,894,"1,015","1,057",764,847,"1,041",817,"1,085",917,"1,026",992, 984 , 967 , 912 
E09000011,Greenwich,"1,314","1,362","1,510","1,406","1,466","1,349","1,341","1,620",770,523,625,504,463,600,830,996, 716 , 912 , 962 
E09000012,Hackney,"2,269","2,639","2,441","2,477","2,467","2,747","2,111","2,023","1,149","1,032","1,073","1,037","1,046",925,933,"1,154"," 1,392 "," 1,742 "," 1,194 "
E09000013,Hammersmith and Fulham,"1,435","1,060",854,793,982,818,871,757,747,268,445,267,381,329,278,296, 380 , 359 , 532 
E09000014,Haringey,"1,094",692,535,581,637,771,742,649,828,542,579,852,732,654,732,996," 1,355 "," 1,429 "," 1,468 "
E09000015,Harrow,405,352,370,289,286,304,251,210,166,356,81,97,651,673,299,708, 816 , 562 , 61 
E09000016,Havering,"1,076","1,064","1,145","1,221","1,202","1,269","1,123",996,948,816,558,499,429,494,630,604, 734 , 724 , 657 
E09000017,Hillingdon,782,846,804,746,704,756,809,574,465,556,469,463,401,490,563,551, 823 , 518 , 388 
E09000018,Hounslow,994,740,545,442,359,485,508,19,17,300,738,403,277,215,191,492, 974 ," 1,283 "," 1,384 "
E09000019,Islington,"1,233","1,019","1,057","1,171","1,095","1,396","1,077",944,618,382,639,953,499,644,621,750, 649 , 823 , 733 
E09000020,Kensington and Chelsea,"1,255","1,224","1,140","1,306","1,527","1,330","1,104","1,107","1,215","1,521","1,250","1,289","1,399","1,230","1,115","1,179"," 1,306 "," 1,539 "," 1,564 "
E09000021,Kingston upon Thames,"1,534",976,"1,059",991,930,"1,228","1,125",673,390,296,202,180,181,268,292,305, 477 , 662 , 567 
E09000022,Lambeth,"1,958","1,642","2,807","1,851","2,016","1,884","2,226","1,676","1,397","1,329","1,354","1,142",756,734,920,868," 1,136 "," 1,563 "," 1,820 "
E09000023,Lewisham,0,0,0,503,762,801,942,940,742,737,594,725,812,939,"1,115",989," 1,421 "," 1,410 "," 1,226 "
E09000024,Merton,449,995,971,306,505,527,527,538,497,562,566,510,502,595,611,611, 685 , 883 ," 1,187 "
E09000025,Newham,"1,331","1,670","2,070","1,927","2,084","1,945","1,445","1,252",982,939,903,"1,318",593,709,894,"1,275"," 1,870 "," 2,246 "," 1,944 "
E09000026,Redbridge,491,959,"1,275","1,379",885,985,813,693,549,487,284,267,274,462,457,594, 657 , 706 , 879 
E09000027,Richmond upon Thames,621,567,687,717,662,452,335,387,412,482,426,370,332,344,488,489, 444 , 486 , 624 
E09000028,Southwark,"2,192","1,094","1,192",922,"1,113","1,267","1,628","1,157",829,833,993,930,926,"1,128","1,766","1,469"," 2,358 "," 2,705 "," 2,422 "
E09000029,Sutton,"1,230","1,279","1,238","1,103","1,307","1,174","1,006",817,837,764,647,551,566,470,686,756, 833 , 865 , 970 
E09000030,Tower Hamlets,394,698,940,996,"1,176","1,371","1,623",939,806,598,602,666,656,548,634,984," 1,035 ", 550 ," 1,510 "
E09000031,Waltham Forest,945,895,832,963,914,837,775,670,604,536,435,419,477,513,552,733," 1,008 "," 1,118 "," 1,004 "
E09000032,Wandsworth,"3,039","3,044",953,894,737,704,657,549,532,493,437,263,220,132,173,156, 269 , 262 , 191 
E09000033,Westminster,"2,110","2,033","1,979","1,945","2,483","2,455","2,499","1,869","1,671","1,503",836,575,473,292,304,506, 565 , 515 ," 1,172 "
